source_id,source_label,field_ids,description,semantic_function,semantic_function_label,value_type,current_path,proposed_path,report_domain,acquisition_type,report_concept,flags,raw_columns_sample,ukb_showcase_urls
eye_brain_ukb42577,Eye-brain ukb42577,20263,T1 surface model files and additional structural segmentations,device_or_qc,Device/QC metadata,ID/file-like,Eye-brain ukb42577 > Imaging data > Brain MRI > Brain MRI bulk pipeline files,Eye-brain ukb42577 > Brain and neuroimaging > Bulk image/file ID > Brain MRI bulk pipeline files,Brain and neuroimaging,Bulk image/file ID,Brain MRI bulk pipeline files,device_qc_integrated_under_domain,eye_brain_ukb42577:20263-2.0; eye_brain_ukb42577:20263-3.0,https://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=20263
eye_brain_ukb42577,Eye-brain ukb42577,25739,Discrepancy between rfMRI brain image and T1 brain image,device_or_qc,Device/QC metadata,ID/file-like,Eye-brain ukb42577 > Imaging data > Brain MRI > Brain MRI derived phenotypes,Eye-brain ukb42577 > Brain and neuroimaging > Bulk image/file ID > Brain MRI derived phenotypes,Brain and neuroimaging,Bulk image/file ID,Brain MRI derived phenotypes,device_qc_integrated_under_domain,eye_brain_ukb42577:25739-2.0; eye_brain_ukb42577:25739-3.0,https://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25739
eye_brain_ukb42577,Eye-brain ukb42577,25740,Discrepancy between tfMRI brain image and T1 brain image,device_or_qc,Device/QC metadata,ID/file-like,Eye-brain ukb42577 > Imaging data > Brain MRI > Brain MRI derived phenotypes,Eye-brain ukb42577 > Brain and neuroimaging > Bulk image/file ID > Brain MRI derived phenotypes,Brain and neuroimaging,Bulk image/file ID,Brain MRI derived phenotypes,device_qc_integrated_under_domain,eye_brain_ukb42577:25740-2.0; eye_brain_ukb42577:25740-3.0,https://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25740
eye_brain_ukb42577,Eye-brain ukb42577,25923,Echo Time for rfMRI,device_or_qc,Device/QC metadata,ID/file-like,Eye-brain ukb42577 > Imaging data > Brain MRI > Brain MRI derived phenotypes,Eye-brain ukb42577 > Brain and neuroimaging > Bulk image/file ID > Brain MRI derived phenotypes,Brain and neuroimaging,Bulk image/file ID,Brain MRI derived phenotypes,device_qc_integrated_under_domain,eye_brain_ukb42577:25923-2.0; eye_brain_ukb42577:25923-3.0,https://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25923
eye_brain_ukb42577,Eye-brain ukb42577,25924,Echo Time for tfMRI,device_or_qc,Device/QC metadata,ID/file-like,Eye-brain ukb42577 > Imaging data > Brain MRI > Brain MRI derived phenotypes,Eye-brain ukb42577 > Brain and neuroimaging > Bulk image/file ID > Brain MRI derived phenotypes,Brain and neuroimaging,Bulk image/file ID,Brain MRI derived phenotypes,device_qc_integrated_under_domain,eye_brain_ukb42577:25924-2.0; eye_brain_ukb42577:25924-3.0,https://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25924
eye_brain_ukb42577,Eye-brain ukb42577,25929,Intensity scaling for rfMRI,device_or_qc,Device/QC metadata,ID/file-like,Eye-brain ukb42577 > Imaging data > Brain MRI > Brain MRI derived phenotypes,Eye-brain ukb42577 > Brain and neuroimaging > Bulk image/file ID > Brain MRI derived phenotypes,Brain and neuroimaging,Bulk image/file ID,Brain MRI derived phenotypes,device_qc_integrated_under_domain,eye_brain_ukb42577:25929-2.0; eye_brain_ukb42577:25929-3.0,https://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25929
eye_brain_ukb42577,Eye-brain ukb42577,25930,Intensity scaling for tfMRI,device_or_qc,Device/QC metadata,ID/file-like,Eye-brain ukb42577 > Imaging data > Brain MRI > Brain MRI derived phenotypes,Eye-brain ukb42577 > Brain and neuroimaging > Bulk image/file ID > Brain MRI derived phenotypes,Brain and neuroimaging,Bulk image/file ID,Brain MRI derived phenotypes,device_qc_integrated_under_domain,eye_brain_ukb42577:25930-2.0; eye_brain_ukb42577:25930-3.0,https://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25930
eye_brain_ukb42577,Eye-brain ukb42577,25743,Inverted temporal signal-to-noise ratio in pre-processed rfMRI,device_or_qc,Device/QC metadata,ID/file-like,Eye-brain ukb42577 > Imaging data > Brain MRI > Brain MRI derived phenotypes,Eye-brain ukb42577 > Brain and neuroimaging > Bulk image/file ID > Brain MRI derived phenotypes,Brain and neuroimaging,Bulk image/file ID,Brain MRI derived phenotypes,device_qc_integrated_under_domain,eye_brain_ukb42577:25743-2.0; eye_brain_ukb42577:25743-3.0,https://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25743
eye_brain_ukb42577,Eye-brain ukb42577,25745,Inverted temporal signal-to-noise ratio in pre-processed tfMRI,device_or_qc,Device/QC metadata,ID/file-like,Eye-brain ukb42577 > Imaging data > Brain MRI > Brain MRI derived phenotypes,Eye-brain ukb42577 > Brain and neuroimaging > Bulk image/file ID > Brain MRI derived phenotypes,Brain and neuroimaging,Bulk image/file ID,Brain MRI derived phenotypes,device_qc_integrated_under_domain,eye_brain_ukb42577:25745-2.0; eye_brain_ukb42577:25745-3.0,https://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25745
eye_brain_ukb42577,Eye-brain ukb42577,25741,"Mean rfMRI head motion, averaged across space and time points",device_or_qc,Device/QC metadata,ID/file-like,Eye-brain ukb42577 > Imaging data > Brain MRI > Brain MRI derived phenotypes,Eye-brain ukb42577 > Brain and neuroimaging > Bulk image/file ID > Brain MRI derived phenotypes,Brain and neuroimaging,Bulk image/file ID,Brain MRI derived phenotypes,device_qc_integrated_under_domain,eye_brain_ukb42577:25741-2.0; eye_brain_ukb42577:25741-3.0,https://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25741
eye_brain_ukb42577,Eye-brain ukb42577,25742,"Mean tfMRI head motion, averaged across space and time points",device_or_qc,Device/QC metadata,ID/file-like,Eye-brain ukb42577 > Imaging data > Brain MRI > Brain MRI derived phenotypes,Eye-brain ukb42577 > Brain and neuroimaging > Bulk image/file ID > Brain MRI derived phenotypes,Brain and neuroimaging,Bulk image/file ID,Brain MRI derived phenotypes,device_qc_integrated_under_domain,eye_brain_ukb42577:25742-2.0; eye_brain_ukb42577:25742-3.0,https://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25742
eye_brain_ukb42577,Eye-brain ukb42577,25755,"rfMRI component amplitudes, dimension 100",device_or_qc,Device/QC metadata,ID/file-like,Eye-brain ukb42577 > Imaging data > Brain MRI > Brain MRI derived phenotypes,Eye-brain ukb42577 > Brain and neuroimaging > Bulk image/file ID > Brain MRI derived phenotypes,Brain and neuroimaging,Bulk image/file ID,Brain MRI derived phenotypes,device_qc_integrated_under_domain,eye_brain_ukb42577:25755-2.0; eye_brain_ukb42577:25755-3.0,https://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=25755
